date,forecast,lower_bound,upper_bound
2025-07-20,778.690577885884,701.576455900361,856.5997894321061
2025-07-21,572.074507138004,490.7616660846458,651.9048007201428
2025-07-22,656.0880272344845,580.7520458032785,734.20168409884
2025-07-23,627.9604591305317,550.521885420003,709.2766434607258
2025-07-24,593.9280026829607,511.3032187990446,670.4731896052357
2025-07-25,614.8816098416669,538.5518125193811,691.3423430168868
2025-07-26,716.3598732671871,638.6499131904861,790.857764508576
2025-07-27,778.0652279136671,699.0855736969545,856.6419734021382
2025-07-28,569.8423038988608,489.38119429434715,650.8407389053648
2025-07-29,652.078085956858,576.9149548704065,729.3479186629678
2025-07-30,622.0618283680071,546.7294287862061,701.3253267449043
2025-07-31,586.0911948269757,504.59862001934647,666.3524616630849
2025-08-01,605.1184091430207,520.189666080633,685.0242579404724
2025-08-02,704.7414535694221,618.9702780543574,775.7295190284995
2025-08-03,764.7186588264594,690.0525847614416,839.6972161308056
2025-08-04,554.9455679834127,478.0939689401451,633.4397791847804
2025-08-05,635.8537695180192,554.8269035822493,706.4433144213724
2025-08-06,604.7696835279654,526.8521671737528,677.6348773199861
2025-08-07,568.0197997298351,487.56114739307634,641.4103628479745
2025-08-08,586.5761756334302,507.43416116325784,662.1447197266345
2025-08-09,686.0472469356891,603.5323403975415,758.9673095545318
2025-08-10,746.1923017684722,663.2152877145675,824.2213165800065
2025-08-11,536.8985007798103,457.4517812991403,620.90266114228
2025-08-12,618.580130412296,545.0589860867553,703.4633805564391
2025-08-13,588.5380579730335,511.08402877708176,668.47142304037
2025-08-14,553.0658648047093,475.08730038115914,637.047510018592
2025-08-15,573.0964373573909,489.2947475599635,653.2468295354502
2025-08-16,674.1940342500793,599.9752179566714,747.4594929316356
2025-08-17,736.0701426258162,658.0004741526078,812.5820683977721
2025-08-18,528.5619642352541,450.80770190379064,607.5519217881554
